What is your gender?,Where are you from?,What is your age group?,What is your employment status / academic level?,What do you enjoy about a social media platform?,Do you think social media influences your impression on businesses?,What are the factors that influences your impression on the credibility of a promotion/advertisement from businesses on social media?,What social platform has influenced your online shopping most?,Which social media do you think will be best for a business to establish their brand's social presence?,Have you heard of a business utilizing machine learning techniques and algorithms?,Have you heard of a business utilizing machine learning techniques and algorithms to enhance their social presence?,How effective do you think these machine learning techniques and algorithms help with business?
Female,Negeri Sembilan,25 - 39,Bachelors' Graduate,Stay connected with friends.;Stay updated with current trends and news around the world.;Opportunity to express self online.;Opens business opportunities.,Sometimes,Attractiveness of promotion/advertisement.;Online brand on the social media platform is well-developed.;Level of expertise and knowledge of product.,Instagram,Tik Tok,Yes,Yes,5
Male,Negeri Sembilan,20 - 24,High School Graduate,Stay connected with friends.;Do not like social media.,Sometimes,Transparency and Honesty;Ethical;Attractiveness of promotion/advertisement.,Instagram,Facebook,Yes,Yes,5
Male,Selangor,25 - 39,Bachelors' Graduate,Stay connected with friends.;Stay updated with current trends and news around the world.;Engaging with new people around the world.;Opens business opportunities.,Yes,Transparency and Honesty;Ethical;Online brand on the social media platform is well-developed.;Level of expertise and knowledge of product.,Instagram,Twitter,Yes,Maybe,4
Female,Negeri Sembilan,20 - 24,Bachelors' Graduate,Stay connected with friends.;Stay updated with current trends and news around the world.;Engaging with new people around the world.;Opportunity to express self online.;Opens business opportunities.,Yes,Transparency and Honesty;Ethical;Attractiveness of promotion/advertisement.;Online brand on the social media platform is well-developed.;Level of expertise and knowledge of product.,Instagram,Instagram,Maybe,Maybe,5
Female,Negeri Sembilan,20 - 24,Bachelors' Graduate,Stay connected with friends.;Stay updated with current trends and news around the world.;Engaging with new people around the world.;Opportunity to express self online.;Opens business opportunities.,Yes,Transparency and Honesty;Ethical;Attractiveness of promotion/advertisement.;Online brand on the social media platform is well-developed.;Level of expertise and knowledge of product.,Instagram,Instagram,Yes,Yes,5
Male,Selangor,20 - 24,Bachelors' Graduate,Stay connected with friends.;Stay updated with current trends and news around the world.;Engaging with new people around the world.;Opportunity to express self online.;Opens business opportunities.,Yes,Transparency and Honesty,Facebook,Facebook,Yes,Yes,3
Female,Selangor,20 - 24,Bachelors' Graduate,Stay connected with friends.;Stay updated with current trends and news around the world.;Engaging with new people around the world.,Sometimes,Transparency and Honesty;Online brand on the social media platform is well-developed.;Level of expertise and knowledge of product.,Instagram,Instagram,No,No,3
Male,Negeri Sembilan,25 - 39,Working,Stay connected with friends.;Stay updated with current trends and news around the world.;Opportunity to express self online.;Opens business opportunities.,Yes,Transparency and Honesty;Ethical;Attractiveness of promotion/advertisement.;Online brand on the social media platform is well-developed.;Level of expertise and knowledge of product.,Facebook,Facebook,Yes,Maybe,4
Female,Selangor,25 - 39,Working,Stay connected with friends.;Stay updated with current trends and news around the world.;Opportunity to express self online.;Opens business opportunities.,Sometimes,Transparency and Honesty;Ethical;Attractiveness of promotion/advertisement.;Level of expertise and knowledge of product.,Facebook,Instagram,Maybe,Maybe,4
Male,Selangor,15 - 19,High School Graduate,Stay connected with friends.;Opportunity to express self online.;Opens business opportunities.,Yes,Transparency and Honesty;Ethical;Attractiveness of promotion/advertisement.;Level of expertise and knowledge of product.,Twitter,Twitter,No,No,5
Male,Johor Bahru,20 - 24,Bachelors' Graduate,Stay connected with friends.;Stay updated with current trends and news around the world.;Engaging with new people around the world.;Opens business opportunities.,Yes,Transparency and Honesty;Ethical;Online brand on the social media platform is well-developed.,Instagram,Instagram,Yes,Yes,
Female,Selangor,20 - 24,Diploma Graduate,Stay connected with friends.;Stay updated with current trends and news around the world.;Engaging with new people around the world.;Opportunity to express self online.;Opens business opportunities.,Sometimes,Transparency and Honesty;Ethical;Attractiveness of promotion/advertisement.;Online brand on the social media platform is well-developed.;Level of expertise and knowledge of product.,Instagram,Facebook,Yes,Yes,3
Male,Selangor,20 - 24,Working,Stay connected with friends.;Engaging with new people around the world.;Opens business opportunities.,Yes,Transparency and Honesty;Ethical;Attractiveness of promotion/advertisement.;Level of expertise and knowledge of product.,None,Facebook,Maybe,Maybe,4
Male,Selangor,25 - 39,Bachelors' Graduate,Stay connected with friends.;Stay updated with current trends and news around the world.;Opportunity to express self online.;Opens business opportunities.,Yes,Transparency and Honesty;Ethical;Online brand on the social media platform is well-developed.;Level of expertise and knowledge of product.,Twitter,Twitter,Yes,Yes,5
Male,Penang,25 - 39,Working,Stay connected with friends.;Stay updated with current trends and news around the world.;Opens business opportunities.,Sometimes,Transparency and Honesty;Online brand on the social media platform is well-developed.;Level of expertise and knowledge of product.,Instagram,Facebook,Yes,Yes,5
Female,Selangor,15 - 19,High School Graduate,Stay connected with friends.;Stay updated with current trends and news around the world.;Opportunity to express self online.,No,Transparency and Honesty;Ethical;Level of expertise and knowledge of product.,Instagram,Facebook,Maybe,Maybe,4
Male,Negeri Sembilan,25 - 39,Bachelors' Graduate,Stay updated with current trends and news around the world.;Engaging with new people around the world.;Opportunity to express self online.;Opens business opportunities.,Yes,Transparency and Honesty;Ethical;Online brand on the social media platform is well-developed.;Level of expertise and knowledge of product.,Facebook,Snapchat,No,No,4
Male,Selangor,20 - 24,Diploma Graduate,Stay connected with friends.;Stay updated with current trends and news around the world.;Engaging with new people around the world.;Opportunity to express self online.;Opens business opportunities.,Sometimes,Transparency and Honesty;Ethical;Attractiveness of promotion/advertisement.;Online brand on the social media platform is well-developed.;Level of expertise and knowledge of product.,Instagram,Tik tok?,Yes,Yes,5
Female,Selangor,25 - 39,Working,Stay connected with friends.;Opens business opportunities.,Yes,Transparency and Honesty;Ethical,Facebook,Snapchat,Yes,Maybe,4
Female,Melaka,25 - 39,Bachelors' Graduate,Do not like social media.,Sometimes,Transparency and Honesty;Level of expertise and knowledge of product.,Facebook,Facebook,Yes,Yes,4
Male,Negeri Sembilan,20 - 24,Bachelors' Graduate,Stay connected with friends.;Stay updated with current trends and news around the world.;Engaging with new people around the world.;Opens business opportunities.,Yes,Transparency and Honesty;Ethical;Level of expertise and knowledge of product.,Twitter,Facebook,Yes,Maybe,3
Male,Selangor,25 - 39,Bachelors' Graduate,Stay connected with friends.;Stay updated with current trends and news around the world.;Engaging with new people around the world.;Opportunity to express self online.;Opens business opportunities.,Yes,Transparency and Honesty;Ethical;Online brand on the social media platform is well-developed.;Level of expertise and knowledge of product.,Twitter,Instagram,Maybe,Maybe,3
Female,Penang,20 - 24,Diploma Graduate,Stay connected with friends.;Opportunity to express self online.;Opens business opportunities.,Yes,Transparency and Honesty;Ethical;Attractiveness of promotion/advertisement.;Online brand on the social media platform is well-developed.;Level of expertise and knowledge of product.,Facebook,"Currently, probably Tik Tok ",Yes,Yes,4
Male,Selangor,25 - 39,Working,Engaging with new people around the world.;Opportunity to express self online.;Opens business opportunities.,Yes,Transparency and Honesty;Attractiveness of promotion/advertisement.;Online brand on the social media platform is well-developed.,Twitter,Instagram,Yes,Maybe,4
Male,Selangor,25 - 39,Working,Stay connected with friends.;Stay updated with current trends and news around the world.;Engaging with new people around the world.;Opens business opportunities.,Yes,Transparency and Honesty;Ethical;Level of expertise and knowledge of product.,Instagram,Twitter,Maybe,Maybe,4
Female,Selangor,20 - 24,Bachelors' Graduate,Stay connected with friends.;Stay updated with current trends and news around the world.;Engaging with new people around the world.;Opportunity to express self online.;Opens business opportunities.,Yes,Transparency and Honesty;Ethical;Attractiveness of promotion/advertisement.;Online brand on the social media platform is well-developed.;Level of expertise and knowledge of product.,Twitter,Instagram,Yes,No,5
Male,Melaka,25 - 39,Working,Stay connected with friends.;Stay updated with current trends and news around the world.;Opens business opportunities.,Sometimes,Transparency and Honesty;Ethical;Level of expertise and knowledge of product.,Instagram,Tik Tok,Yes,Yes,4
Female,Melaka,15 - 19,High School Graduate,Stay connected with friends.;Stay updated with current trends and news around the world.;Engaging with new people around the world.;Opportunity to express self online.,Yes,Ethical;Attractiveness of promotion/advertisement.;Level of expertise and knowledge of product.,Snapchat,Snapchat,No,No,3
Female,Johor Bahru,25 - 39,Bachelors' Graduate,Stay connected with friends.;Stay updated with current trends and news around the world.;Opportunity to express self online.;Opens business opportunities.,Yes,Transparency and Honesty;Ethical;Attractiveness of promotion/advertisement.;Online brand on the social media platform is well-developed.;Level of expertise and knowledge of product.,Twitter,Instagram,Yes,Yes,3
Male,Melaka,20 - 24,Diploma Graduate,Stay updated with current trends and news around the world.;Opportunity to express self online.;Opens business opportunities.,Sometimes,Ethical;Level of expertise and knowledge of product.,Facebook,tiktok,Yes,Yes,3
Female,Selangor,20 - 24,Diploma Graduate,Stay updated with current trends and news around the world.;Engaging with new people around the world.;Opportunity to express self online.;Opens business opportunities.,Yes,Transparency and Honesty;Ethical;Level of expertise and knowledge of product.,Instagram,Instagram,Yes,Yes,3
Male,Penang,25 - 39,Working,Stay connected with friends.;Engaging with new people around the world.;Opportunity to express self online.;Opens business opportunities.,Sometimes,Transparency and Honesty;Attractiveness of promotion/advertisement.;Online brand on the social media platform is well-developed.,Facebook,Twitter,Yes,Yes,5
Female,Penang,25 - 39,Working,Stay connected with friends.;Stay updated with current trends and news around the world.;Opens business opportunities.,Yes,Transparency and Honesty;Ethical;Attractiveness of promotion/advertisement.;Online brand on the social media platform is well-developed.;Level of expertise and knowledge of product.,Twitter,Instagram,Yes,Yes,4
Male,Selangor,25 - 39,Working,Stay connected with friends.;Stay updated with current trends and news around the world.;Opportunity to express self online.;Opens business opportunities.,Yes,Transparency and Honesty;Ethical;Attractiveness of promotion/advertisement.;Level of expertise and knowledge of product.,Twitter,Twitter,Yes,Yes,3
Female,Selangor,25 - 39,Bachelors' Graduate,Stay connected with friends.;Opportunity to express self online.;Opens business opportunities.,Yes,Transparency and Honesty;Ethical;Attractiveness of promotion/advertisement.;Level of expertise and knowledge of product.,Facebook,Snapchat,Yes,Yes,4
Male,Selangor,20 - 24,Bachelors' Graduate,Stay connected with friends.;Stay updated with current trends and news around the world.;Opens business opportunities.,Yes,Transparency and Honesty;Level of expertise and knowledge of product.,Twitter,Instagram,Yes,Yes,4
Female,Selangor,20 - 24,Bachelors' Graduate,Stay connected with friends.;Stay updated with current trends and news around the world.;Opportunity to express self online.,Yes,Transparency and Honesty;Ethical;Attractiveness of promotion/advertisement.;Online brand on the social media platform is well-developed.;Level of expertise and knowledge of product.,Twitter,Facebook,Maybe,Maybe,4
Female,Negeri Sembilan,25 - 39,Working,Stay connected with friends.;Opportunity to express self online.,Yes,Transparency and Honesty;Ethical;Level of expertise and knowledge of product.,Instagram,Twitter,Yes,Yes,3
Male,Selangor,25 - 39,Working,Stay connected with friends.;Stay updated with current trends and news around the world.;Opens business opportunities.,Yes,Transparency and Honesty;Ethical;Attractiveness of promotion/advertisement.;Level of expertise and knowledge of product.,Instagram,Tik Tok,Yes,Yes,3
Male,Selangor,25 - 39,Working,Stay connected with friends.;Stay updated with current trends and news around the world.;Opens business opportunities.,Sometimes,Ethical;Online brand on the social media platform is well-developed.;Level of expertise and knowledge of product.,Instagram,Facebook,Yes,Maybe,4
Male,Negeri Sembilan,25 - 39,Working,Do not like social media.,Sometimes,Online brand on the social media platform is well-developed.;Level of expertise and knowledge of product.,None,Facebook,Yes,No,4
Female,Selangor,20 - 24,Bachelors' Graduate,Stay connected with friends.;Stay updated with current trends and news around the world.;Opportunity to express self online.;Opens business opportunities.,Yes,Transparency and Honesty;Ethical;Level of expertise and knowledge of product.,Twitter,Twitter,Yes,Yes,5
Male,Selangor,25 - 39,Working,Stay connected with friends.;Stay updated with current trends and news around the world.;Opens business opportunities.,Yes,Transparency and Honesty;Ethical;Attractiveness of promotion/advertisement.;Online brand on the social media platform is well-developed.;Level of expertise and knowledge of product.,Twitter,Instagram,No,No,4
Female,Selangor,25 - 39,Working,Stay connected with friends.;Stay updated with current trends and news around the world.;Engaging with new people around the world.;Opportunity to express self online.;Opens business opportunities.,Yes,Transparency and Honesty;Ethical;Attractiveness of promotion/advertisement.;Level of expertise and knowledge of product.,Facebook,Facebook,Yes,Maybe,4
Female,Negeri Sembilan,20 - 24,Diploma Graduate,Stay connected with friends.;Stay updated with current trends and news around the world.;Opportunity to express self online.,Yes,Transparency and Honesty;Ethical;Level of expertise and knowledge of product.,Instagram,Instagram,Yes,Yes,5
Male,Selangor,20 - 24,Bachelors' Graduate,Stay connected with friends.;Stay updated with current trends and news around the world.,Yes,Transparency and Honesty;Ethical;Level of expertise and knowledge of product.,Instagram,Instagram,Yes,Yes,4
Female,Selangor,25 - 39,Working,Stay connected with friends.;Stay updated with current trends and news around the world.;Opportunity to express self online.;Opens business opportunities.,Sometimes,Transparency and Honesty;Ethical;Attractiveness of promotion/advertisement.;Level of expertise and knowledge of product.,Facebook,tiktok?,Maybe,Maybe,4
Male,Negeri Sembilan,25 - 39,Bachelors' Graduate,Stay updated with current trends and news around the world.;Engaging with new people around the world.;Opens business opportunities.,Yes,Ethical;Level of expertise and knowledge of product.,Twitter,Snapchat,Yes,Maybe,5
Male,Selangor,25 - 39,Bachelors' Graduate,Stay connected with friends.;Stay updated with current trends and news around the world.;Opportunity to express self online.;Opens business opportunities.,Sometimes,Attractiveness of promotion/advertisement.;Online brand on the social media platform is well-developed.;Level of expertise and knowledge of product.,Facebook,Instagram,Yes,Yes,4
Female,Selangor,25 - 39,Working,Stay connected with friends.;Stay updated with current trends and news around the world.;Opportunity to express self online.;Opens business opportunities.,Yes,Transparency and Honesty;Ethical;Attractiveness of promotion/advertisement.;Level of expertise and knowledge of product.,Instagram,Twitter,Yes,Yes,4
Male,Melaka,20 - 24,Bachelors' Graduate,Stay connected with friends.;Stay updated with current trends and news around the world.;Engaging with new people around the world.;Opens business opportunities.,No,Transparency and Honesty;Ethical;Attractiveness of promotion/advertisement.;Level of expertise and knowledge of product.,None,Instagram,Maybe,Maybe,4
Male,Penang,25 - 39,Working,Stay connected with friends.;Stay updated with current trends and news around the world.;Opportunity to express self online.,Yes,Transparency and Honesty;Ethical;Attractiveness of promotion/advertisement.;Online brand on the social media platform is well-developed.;Level of expertise and knowledge of product.,Facebook,Tik Tok,Yes,Yes,5
Male,Penang,25 - 39,Working,Stay connected with friends.;Engaging with new people around the world.;Opportunity to express self online.;Opens business opportunities.,Yes,Ethical;Attractiveness of promotion/advertisement.;Online brand on the social media platform is well-developed.;Level of expertise and knowledge of product.,Twitter,Facebook,Yes,Yes,4
Male,Selangor,15 - 19,High School Graduate,Stay connected with friends.;Stay updated with current trends and news around the world.;Opportunity to express self online.,Sometimes,Transparency and Honesty;Attractiveness of promotion/advertisement.;Online brand on the social media platform is well-developed.;Level of expertise and knowledge of product.,Snapchat,Snapchat,Yes,Yes,3
Female,Negeri Sembilan,20 - 24,Diploma Graduate,Stay connected with friends.;Stay updated with current trends and news around the world.;Opportunity to express self online.;Opens business opportunities.,Yes,Transparency and Honesty;Ethical;Attractiveness of promotion/advertisement.;Level of expertise and knowledge of product.,Instagram,Instagram,No,No,4
Male,Selangor,15 - 19,High School Graduate,Stay connected with friends.;Engaging with new people around the world.;Opportunity to express self online.,Sometimes,Transparency and Honesty;Attractiveness of promotion/advertisement.;Online brand on the social media platform is well-developed.;Level of expertise and knowledge of product.,Snapchat,Snapchat,No,No,4
Female,Negeri Sembilan,15 - 19,High School Graduate,Stay connected with friends.;Stay updated with current trends and news around the world.;Opportunity to express self online.,Yes,Transparency and Honesty;Attractiveness of promotion/advertisement.;Level of expertise and knowledge of product.,Twitter,Instagram,Maybe,Maybe,3
Male,Selangor,20 - 24,Working,Stay updated with current trends and news around the world.;Engaging with new people around the world.;Opportunity to express self online.;Opens business opportunities.,Yes,Transparency and Honesty;Ethical;Level of expertise and knowledge of product.,Facebook,Facebook,Yes,Yes,4
Female,Selangor,25 - 39,Working,Stay connected with friends.;Engaging with new people around the world.;Opportunity to express self online.,Sometimes,Ethical;Attractiveness of promotion/advertisement.;Level of expertise and knowledge of product.,Twitter,Twitter,Yes,Yes,4
Female,Penang,20 - 24,Diploma Graduate,Stay connected with friends.;Engaging with new people around the world.;Opens business opportunities.,Sometimes,Transparency and Honesty;Ethical;Attractiveness of promotion/advertisement.;Online brand on the social media platform is well-developed.;Level of expertise and knowledge of product.,Instagram,Tiktok!!,Maybe,Maybe,4
Male,Selangor,25 - 39,Working,Stay connected with friends.;Stay updated with current trends and news around the world.;Opportunity to express self online.;Opens business opportunities.,Sometimes,Transparency and Honesty;Ethical;Level of expertise and knowledge of product.,Twitter,Twitter,Yes,Yes,5
Male,Selangor,20 - 24,Bachelors' Graduate,Do not like social media.,Sometimes,Transparency and Honesty;Ethical,None,Not sure,Maybe,Maybe,3
Male,Selangor,20 - 24,Bachelors' Graduate,Stay connected with friends.;Engaging with new people around the world.;Opens business opportunities.,Yes,Transparency and Honesty;Ethical;Attractiveness of promotion/advertisement.;Online brand on the social media platform is well-developed.,Twitter,Twitter,Yes,Maybe,4
Male,Selangor,20 - 24,Diploma Graduate,Stay connected with friends.;Stay updated with current trends and news around the world.;Engaging with new people around the world.;Opportunity to express self online.;Opens business opportunities.,Yes,Transparency and Honesty;Ethical;Attractiveness of promotion/advertisement.;Online brand on the social media platform is well-developed.;Level of expertise and knowledge of product.,Facebook,Instagram,No,No,3
Male,Selangor,25 - 39,Working,Stay connected with friends.;Stay updated with current trends and news around the world.;Opens business opportunities.,Yes,Transparency and Honesty;Ethical;Level of expertise and knowledge of product.,Facebook,Twitter,Yes,Yes,5
Female,Negeri Sembilan,25 - 39,Bachelors' Graduate,Stay connected with friends.;Stay updated with current trends and news around the world.;Opportunity to express self online.;Opens business opportunities.,Yes,Transparency and Honesty;Ethical;Attractiveness of promotion/advertisement.;Online brand on the social media platform is well-developed.;Level of expertise and knowledge of product.,Facebook,Instagram,Yes,Maybe,4
